Communities,Afghan M&R Community,"Solomou 23,?thens 10682 , Greece",https://www.facebook.com/Afghans.inGreece/?hc_ref=SEARCH&fref=nf,appointment (694-645-8428),"Greek, English",Free,"37.9863174,23.726800400000002",
Communities,"Ethiopian Socio-Cultural Center ""Aithiops""","Skirou 22, Athina 113 62, Greece",https://web.facebook.com/Aithiops/?_rdc=1&_rdr,"appointment (694-849-8737)
","Greek, English",Free,"37.9999399,23.741663300000027",
Communities,Ghanian Community in Greece,"Messinias str.19, Athens 11526",https://web.facebook.com/Ghanaiancommunitygreece/,appointment (69-866-00661),"Greek, English",Free,"37.9898528,23.766888999999992",
Communities,Association of Cameroonians of Greece,"Sirou 22, Athina 113 61, Greece",Cameroon_community_greece@yahoo.com,"appointment (694-829-4464)
","Greek, English",Free,"38.0003136,23.736616599999934",
Communities,Congolese Community in Greece,"Athanasiou St. 5, Athens 156 69",,appointment (697-423-8561),"Greek, English",Free,"37.9993255,23.74274390000005",
Communities,Nigerian Women Organisation of Greece,"I. Drossopoulou 197, Athina 112 55, Greece",https://www.facebook.com/Nigerian-Women-Organisation-Athens-Greece-223700537658724/,"appointment (697-920-6267)
","Greek, English",Free,"38.0103954,23.736111100000016",
Communities,Nigerian Community of Greece,,https://www.facebook.com/Nigerian-Community-Greece-293700914084982/,"appointment (698-470-8953)
","Greek, English",Free,,
Communities,Association of Senegalese of Athens,"Akominatou 51, Athina 104 38, Greece",https://www.facebook.com/Association-des-Senegalais-dAthenes-Grece-288651824647347/?hc_ref=ARTIpbM7MsyMf3t8RYca70jQi_WnALlWKBJvn21tTBin1Z2e0s7H7e95quQKzMYpISc,appointment (694-779-6333),"Greek, English",Free,"37.9882879,23.72380659999999",
Communities,African Network in Greece,,https://www.facebook.com/africannetworkingreece/,appointment (698-660-0661),"Greek, English",Free,,
Communities,United African Women Organization Greece,"Kosma Etolou St. 2, Athens 114 71",https://www.facebook.com/UnitedAfricanWomenGr/?hc_ref=ARTVPSSEq9wRXnvMnUdlJXcwhmW58peT2p6PdkgMOEwIzKm5duzLVo-NHsgcWtU8Qzs&fref=nf  ,appointment (693-838-7351),"Greek, English",Free,"37.9872004,23.74948519999998",
Communities,Bangladeshi Community of Greece,"Diplari St. 5, Theatrou Square",https://www.facebook.com/groups/672019492852330/about/,"appointment (694-640-7103)
","Greek, English",Free,"37.9804343,23.72521919999997",
Communities,Greek Pakistan Association of Greece,"Sofokleous St.53D, Athens 105 53",,appointment (694-478-5044),"Greek, English",Free,"37.981564,23.723766899999987",
Communities,"Egyptian Community in Greece ""El Rapto""",,a6att964@gmail.com,appointment (693-896-7088),"Greek, English",Free,,
Communities,Palestinian Workers Union in Greece,"3is Septemvriou 48b, Athina 104 33, Greece",https://www.facebook.com/groups/429681084065567/,appointment (693-753-7461),"Greek, English",Free,"37.9890174,23.729318199999966",
Communities,Sudanese Refugees Association - Greece,,https://www.facebook.com/Sudanese.rag/,appointment (210-823-5944),"Greek, English",Free,,
Communities,Syrian House in Greece,,https://www.facebook.com/syriagreece/?ref=br_rs,appointment (693-255-6660),"Greek, English",Free,,
Communities,Arab Association in Ambelokipi - Athens,,,appointment (693-955-6789),"Greek, English",Free,,
Education,Orange House,"Mpotasi 13, Athina 106 82, Greece",http://www.zaatarngo.org,Monday-Friday 10am-9pm,English,Free,"37.98695449999999,23.73264359999996",
Education,Khora Community Center,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,Monday-Friday 10am-7pm; Saturday 10am-5pm,English,Free,"37.9853236,23.741871400000036",
Education,Melissa,"Feron 18, Athina 104 34, Greece",   ,Monday-Friday 10am-7pm,English,Free,"37.992456,23.729663999999957",
Education,Steki Metanaston,"Tsamadou 13, Athina 106 83, Greece",http://tsamadou13-15.espivblogs.net/,Monday-Friday 6pm-9pm,English,Free,"37.9874639,23.735127499999976",
Education,Diadromes,"Mezonos 45, Athina 104 38, Greece",http://www.diadromes.org,Monday-Friday 11am-5pm,English,Free,"37.9877227,23.722333299999946 ",
Education,Generation 2.0,"Plateia Eleftherias 14, Athina 105 53, Greece",http://www.g2red.org,Monday-Thursday 10am-6pm,English,Free,"37.9795777,23.722142500000018",
Education,Hellenic American Union,"Massalias str. 22, Athens 106 80",http://www.hau.gr/?i=hau.el.home,Monday-Friday 9am-5pm,"Greek, English",Pay,"37.9818651,23.737350600000013",
Education,Kyriakatiko Sxoleio Metanaston,"Argous 145, Athina 104 41, Greece",http://www.ksm.gr,Sunday 11am-2pm,English,Free,"37.9878444,23.70825160000004",
Education,Afghan Community,"Solomou str, 23, Athens",https://www.facebook.com/Afghans.inGreece/,Monday-Friday 10am-3pm,Greek,Free,"37.98656380000001,23.7324529",
Education,Caritas Hellas Social Centre,"Tarella str, 3, Athens",http://caritas.gr/,"Monday,Wednesday,Friday 11am-0:30pm",English,Free,"37.9876564,23.724174500000004",
Education,Metadrasi,"25th of March str, 7, Tavros, Athens",http://metadrasi.org/en/home/,Monday-Friday 10am-6pm,"Greek, English",Free,"37.962549, 23.699428",
Education,Almasar,"Spetson str, 21, Kypseli, athens",http://almasarngo.blogspot.gr/p/blog-page_9945.html,"Monday,Tuesday,Wednesday 4pm-8pm; Friday 7pm-9pm",Greek,Free,"37.9965814,23.73723789999997",
Education,Hestia Hellas,"Charilaou Trikoupi str 5, Athens 106 78",https://hestiahellas.org/,Monday-Friday 10am-7pm,English,Free,"37.9826396,23.732595800000013",
Education,Jesuit Refugee Service,"Filis str. 68, Athens 104 34",https://el-gr.facebook.com/jrsgreece/,"Monday,Tuesday,Wednesday,Friday 3pm-4:30pm; Saturday 9am-4:30pm",English,Free,"37.99363779999999,23.728424200000063",
Education,National and Kapodistrian University of Athens,"University Campus, 157 84 Zografou area",http://en.greekcourses.uoa.gr/,Monday-Friday 10am-4pm,"Greek, English",Pay,"37.968196,23.77868710000007",
Education,Nostos,"Metsovou str. 30 & Notara 45, 10683 - Athens, Greece",http://www.nostos.org.gr/site/en/index.html,appointment (210-881-5310),"Greek, English",Free,"37.9901882,23.734946000000036",
Banks,National Bank of Greece,"3rd September str. 75, Athens 104 34",https://www.nbg.gr/en/branches-atms,Monday-Thursday 8am-2:30pm; Friday 8am-2pm,"Greek, English",Pay,"37.991829, 23.729901",
Banks,Peiraios Bank,"28th of October str. 70, Athens 104 34",http://www.piraeusbank.gr/en/idiwtes/kanalia-eksypiretisis/diktio-eksipiretisis,Monday-Thursday 8am-2:30pm; Friday 8am-2pm,"Greek, English",Pay,"37.9905139,23.731083799999965",
Banks,Alpha Bank,"28th of October str. 172, Athens 112 52",https://secure.alpha.gr/AlphaLookUp/Search.aspx?LookUpID=4,Monday-Thursday 8am-2:30pm; Friday 8am-2pm,"Greek, English",Pay,"38.0020689,23.733997300000055",
Health,Praksis,Peoniou str. 5 and Acharnon,https://www.praksis.gr/el,Monday-Friday 9am-5pm,"Greek, English",Free,"37.9935431,23.727047999999968",
Health,"6th Municipal Clinic, Kypseli, ","Chanion str. 4B, Athens 112 57",https://www.cityofathens.gr/en/municipal-health-clinics-0,Monday-Friday 8am-8pm,"Greek, English",Free,"37.9995906,23.7340868",
RefugeeInfo,Greek Council for Refugees,"25 Solomou Str., 10682, Athens",http://www.gcr.gr/index.php/en/,Monday-Friday 9am-8pm,"Greek, English",Free,"37.9865624,23.732451999999967",
RefugeeInfo,Greek Forum of Migrants,"28th of October str. 81, Athens 104 34",http://www.migrant.gr/cgi-bin/pages/index.pl?arlang=Greek&type=index,Monday-Friday 10am-3pm,"Greek, English",Free,"37.9935529,23.729951000000028",
RefugeeInfo,Greek Forum of Refugees,"Navarchou Notara 12,  Athens 106 83,",https://refugees.gr/,Monday-Friday 9am-5pm,"Greek, English",Free,"37.9876819,23.734378300000003",
RefugeeInfo,Praksis,"Stournari Str 57, Athens 10432",https://www.praksis.gr/el/,Monday-Friday 9am-5pm,"Greek, English",Free,"37.9875583,23.729115800000045",
RefugeeInfo,Za'atar NGO,"Mpotasi str, 13, Athens 106 82",http://zaatarngo.org/,Monday-Friday 9am-9pm,English,Free,"37.9869545,23.73264359999996",
RefugeeInfo,Khora Community Center,"Asklipiou 80, Athina 114 71, Greece",http://www.khora-athens.org,Monday-Friday 10am-7pm; Saturday 10am-5pm,English,Free,"37.9853236,23.741871400000036",
RefugeeInfo,Elix NGO,"28is Oktovriou 20, Athens 106 77",http://www.elix.org.gr/index.php/el/,Monday-Friday 11am-4pm,Greek,Free,"37.9854658,23.72984150000002",
RefugeeInfo,Metadrasi,"25th of March str. 7, Athens 177 78",http://metadrasi.org/,Monday-Friday 10am-6pm,"Greek, English",Free,"37.9698532,23.6985909",
Hairdresser,Za'atar NGO,"Mpotasi str, 13, Athens 106 82",http://zaatarngo.org/,Monday-Friday 9am-9pm,English,Free,"37.9869545,23.73264359999996",
Hairdresser,Hair fashion,"Acharnon 11, Athens 104 38",,Monday-Saturday 9am-9pm,"Greek,English",Pay,"38.0041827,23.728562099999976",
Hairdresser,Rehan,"Acharnon 35, Athens 104 39",,Monday-Saturday 9am-9pm,"Greek,English",Pay,"37.9907481,23.726733500000023",
Hairdresser,Bob Hair,"Acharnon 63, Athens 104 40",,Monday-Saturday 9am-9pm,"Greek,English",Pay,"37.9928787,23.726891000000023",
Hairdresser,Arab Fashion,"Acharnon 67, Athens 104 ",,Monday-Saturday 9am-9pm,"Greek,English",Pay,"37.9933011,23.726907600000004",
